titulo;texto;data;fonte;categoria
Conflito na Europa se intensifica;Tropas avancam em regiao disputada enquanto negociacoes de paz falham em Genebra. Bombardeios registrados em multiplas cidades.;2024-03-01;BBC;conflito
Economia global apresenta queda;Indices de mercado despencam apos dados de inflacao acima do esperado nos EUA. FMI revisa projecoes de crescimento para baixo.;2024-02-28;Reuters;economia
EUA e China firmam acordo diplomatico;Apos reuniao de cupula em Pequim os dois paises assinaram memorando de cooperacao em tecnologia limpa.;2024-02-27;CNN;diplomacia
Novos ataques registrados no Oriente Medio;Forcas militares lancam ofensiva em resposta a ataques anteriores. ONU pede cessar-fogo imediato.;2024-02-25;Al Jazeera;conflito
Inflacao mundial mostra sinais de desaceleracao;Banco Central Europeu mantem juros apos dados indicarem queda na pressao inflacionaria na zona do euro.;2024-02-24;Bloomberg;economia
Reuniao da ONU discute paz global;Conselho de Seguranca debate resolucao para conflito no Leste Europeu. Russia usa direito de veto pela terceira vez.;2024-02-23;ONU News;diplomacia
Tensao cresce na Peninsula Coreana;Exercicios militares conjuntos entre EUA e Coreia do Sul provocam reacao de Pyongyang com lancamento de missil.;2024-02-22;AP;conflito
Mercados asiaticos registram alta historica;Bolsas de Toquio e Xangai sobem mais de 3% apos anuncio de estimulos economicos pelo governo chines.;2024-02-21;Nikkei;economia
Brasil e Argentina retomam acordo comercial;Mercosul avanca em negociacao de zona de livre-comercio com Uniao Europeia apos anos de impasse diplomatico.;2024-02-20;Folha;diplomacia
Crise humanitaria se agrava em zona de conflito;ACNUR reporta mais de 2 milhoes de deslocados internos em razao dos combates na regiao central do pais.;2024-02-19;ACNUR;conflito
OPEP reduz producao de petroleo;Cartel decide corte de 1 milhao de barris por dia elevando precos do barril a maximas em seis meses.;2024-02-18;Reuters;economia
Tratado de desarmamento nuclear e renovado;Potencias nucleares assinam extensao do acordo START por mais cinco anos apos intensas negociacoes em Viena.;2024-02-17;BBC;diplomacia
Guerrilha derruba aeronave militar;Grupo armado reivindica ataque no norte do pais elevando tensao na regiao e exigindo resposta do governo.;2024-02-16;Guardian;conflito
Criptomoedas disparam apos aprovacao de ETF;Bitcoin supera 60 mil dolares apos Securities and Exchange Commission dos EUA aprovar primeiro fundo de criptoativos.;2024-02-15;Financial Times;economia
